"","estimate","san.se","wald","p"
"(Intercept)",15.680452302221,0.336890260542078,2166.40804596662,0
"A",-0.333523203776419,0.29008521914419,1.32190701334435,0.250250088021421
"Pairc(1, 9) 1",-0.696890376819386,0.353455285519029,3.88740665804567,0.0486494901074601
"Pairc(10, 11) 0",0.698759312987442,0.306186571057045,5.20814347720312,0.022481328270969
"Pairc(10, 11) 1",-0.149246467928157,0.971457300110424,0.0236026459292244,0.877900277497214
"Pairc(17, 18) 0",-0.449460174592198,0.824208792063203,0.297377390653515,0.58553125174415
"Pairc(17, 18) 1",1.50951618876228,0.552761415031643,7.45761759229702,0.00631685538573445
"Pairc(2, 12) 0",1.83042611993615,1.51270789891282,1.46417928977757,0.226266320952836
"Pairc(2, 12) 1",0.530620492924246,0.39139109367257,1.8380027625594,0.175185216189229
"Pairc(3, 16) 0",2.44566854602882,0.861645560431982,8.05634186316011,0.00453446460398099
"Pairc(3, 16) 1",0.651963893332867,0.550569573717959,1.4022410436154,0.236348707046165
"Pairc(4, 15) 0",0.34612871542358,0.548942684596385,0.397577004639269,0.528343252925581
"Pairc(4, 15) 1",1.78190594461291,0.304718145299882,34.1958120028644,4.98360896994399e-09
"Pairc(5, 7) 0",-1.06077768065195,0.939043208034449,1.27607909797524,0.258629335549754
"Pairc(5, 7) 1",0.248835699889365,0.839576647050555,0.087842497554898,0.766938102602292
"Pairc(6, 13) 0",0.483901162044044,0.589381194629636,0.674094495231017,0.411627711487295
"Pairc(6, 13) 1",1.35892105974611,0.502658318327358,7.30874332762564,0.00686198983201103
"Pairc(8, 14) 0",0.126590584846433,0.412362821189965,0.0942418511570334,0.758852234604216
"Pairc(8, 14) 1",1.14169443936723,0.769013779419192,2.20410118608664,0.137644100074235
